Descrição,Unidade,Quantidade,Valor Unitário
CONCRETO USINADO FCK 30MPA - SUBSOLO 02,m³,180,870
CONCRETO USINADO FCK 30MPA - SUBSOLO 01,m³,172,870
CONCRETO USINADO FCK 30MPA - TERREO,m³,165,870
CONCRETO USINADO FCK 30MPA - MEZANINO,m³,125,870
CONCRETO USINADO FCK 30MPA - PAV 02,m³,158,870
CONCRETO USINADO FCK 30MPA - PAV 03,m³,158,870
CONCRETO USINADO FCK 30MPA - PAV 04,m³,158,870
CONCRETO USINADO FCK 30MPA - PAV 05,m³,158,870
CONCRETO USINADO FCK 30MPA - PAV 06,m³,158,870
CONCRETO USINADO FCK 30MPA - COBERTURA,m³,119,870
